date_and_time,number_of_taxi_trips,trend,seasonal_24,seasonal_168,resid,temperature,precipitation,wind_speed,precip_log,gamm_pred,ar_resid_pred,gammm_pred
2024-01-21 03:00:00,88,671.6267789240969,-623.820200573406,29.188233817637652,11.005187831671492,-13.9,0.0,11.2,0.0,8.729922653262498,14.309666799440297,23.039589452702796
2024-01-21 04:00:00,97,672.3479658597007,-612.1797607692894,14.675530713619963,22.156264195968674,-13.9,0.0,11.2,0.0,8.729922653262498,1.406434078233834,10.136356731496333
2024-01-21 05:00:00,78,673.0514767986866,-548.8535419152514,-52.096777408218344,5.898842524783163,-15.0,0.0,11.2,0.0,6.770724037229954,10.031128494970735,16.80185253220069
2024-01-21 06:00:00,149,673.7376162428515,-390.71785958264184,-114.88519226665613,-19.13456439355366,-15.0,0.0,7.6,0.0,5.465887344749476,-0.863400863014961,4.602486481734514
2024-01-21 07:00:00,199,674.4066495275233,-128.60764280855713,-304.23840256269483,-42.56060415627144,-15.6,0.0,7.6,0.0,3.812272532431109,-18.43105488995482,-14.61878235752371
2024-01-21 08:00:00,335,675.0588188644485,171.5039665439986,-474.6273274587238,-36.935457949723286,-16.1,0.0,5.4,0.0,-2.220344889885837,-34.384768841641794,-36.60511373152763
2024-01-21 09:00:00,493,675.694353020128,280.1463381881632,-435.82179752265387,-27.01889368563741,-16.1,0.0,5.4,0.0,-2.220344889885837,-25.304093172988534,-27.52443806287437
2024-01-21 10:00:00,636,676.3134623224885,240.88154227555887,-309.2878965416553,28.09289194360781,-17.2,0.0,5.4,0.0,-7.609350597846152,-18.05102356436826,-25.660374162214413
2024-01-21 11:00:00,771,676.916336025589,283.74256335785327,-268.1626892735611,78.50378989011881,-17.2,0.0,5.4,0.0,-7.609350597846152,27.155757473746256,19.546406875900104
2024-01-21 12:00:00,843,677.5031436542946,353.8262255661232,-261.52220706187865,73.1928378414608,-17.2,0.0,5.4,0.0,-7.609350597846152,64.00742596571023,56.398075367864074
2024-01-21 13:00:00,897,678.0740305027615,370.83603141946554,-285.56625396125867,133.65619203903145,-16.7,0.0,11.2,0.0,0.6784307987363221,59.23812556958255,59.91655636831887
2024-01-21 14:00:00,958,678.629100182207,398.1563595882497,-253.66667642317356,134.88121665271694,-16.7,0.0,11.2,0.0,0.6784307987363221,98.44073156888663,99.11916236762295
2024-01-21 15:00:00,915,679.1683917338879,444.6032313795944,-298.18988055018514,89.4182574367029,-11.7,0.0,18.4,0.0,8.884276750050944,98.54434760570523,107.42862435575617
2024-01-21 16:00:00,938,679.6918612947089,486.2365186372942,-326.34921001735,98.42083008534689,-10.0,0.0,18.4,0.0,10.061623230823372,58.28597471334442,68.3475979441678
2024-01-21 17:00:00,996,680.1994133842439,570.7926575784549,-365.92009354591335,110.92802258321444,-8.9,0.0,18.4,0.0,11.581508943584225,64.99128301011696,76.57279195370118
2024-01-21 18:00:00,1010,680.6909249455097,522.3794705004389,-278.4170385375847,85.34664309163611,-8.9,0.0,18.4,0.0,11.581508943584225,73.10701884341312,84.68852778699734
